758.6 0 1
237.71 1 13
73.8269 2 18
23.4192 3 23
7.42987 4 28
2.35013 5 32
0.747882 6 37
0.236353 7 42
0.0752548 8 46
0.0237778 9 51
0.00757169 10 56
0.00239226 11 60
0.000761801 12 65
0.000240685 13 70
7.66458e-05 14 74
2.42153e-05 15 79
7.71143e-06 16 84
2.4363e-06 17 88
7.75856e-07 18 93
2.45116e-07 19 97
7.80598e-08 20 102
2.46612e-08 21 107
7.85351e-09 22 112
2.48105e-09 23 116
7.90141e-10 24 121
2.49757e-10 25 125
7.9425e-11 26 130
2.51148e-11 27 135
8.17004e-12 28 139
2.64245e-12 29 144
9.39207e-13 30 149
152
