718.164 0 2
222.953 1 13
68.6553 2 18
21.6682 3 23
6.70942 4 27
2.11888 5 32
0.660701 6 36
0.208301 7 40
0.0635601 8 44
0.0200533 9 49
0.00632033 10 53
0.00198711 11 58
0.000610321 12 62
0.000192418 13 67
6.05632e-05 14 71
1.90434e-05 15 76
5.73759e-06 16 80
1.80861e-06 17 84
5.7246e-07 18 89
1.79508e-07 19 93
5.57311e-08 20 98
1.75424e-08 21 102
5.50273e-09 22 107
1.72983e-09 23 111
5.25712e-10 24 115
1.65866e-10 25 120
5.2701e-11 26 124
1.6351e-11 27 129
4.96527e-12 28 133
1.43466e-12 29 138
3.97904e-13 30 142
1.13687e-13 31 147
150
