10, 9
20, 29
30, 63
40, 75
50, 126
60, 151
70, 234
80, 266
90, 313
100, 423
110, 508
120, 604
130, 728
140, 843
150, 830
160, 1241
170, 1066
180, 1237
190, 1597
200, 2138
210, 1961
220, 1790
230, 2188
240, 2164
250, 2358
260, 2718
270, 2770
280, 3809
290, 3655
300, 3452
310, 3622
320, 3886
330, 4384
340, 4425
350, 4566
360, 4918
370, 5723
380, 5469
390, 5753
400, 6060
410, 6371
420, 6630
430, 7145
440, 7438
450, 7591
460, 7749
470, 8231
480, 8717
490, 8893
500, 9571
510, 9760
520, 11341
530, 10840
540, 11081
550, 11613
560, 11973
570, 12862
580, 13471
590, 15132
600, 13656
610, 13912
620, 18391
630, 15124
640, 15335
650, 16504
660, 16485
670, 17061
680, 17745
690, 17895
700, 19262
710, 19328
720, 19244
730, 22340
740, 22629
750, 21382
760, 22292
770, 23482
780, 23547
790, 23688
800, 24602
810, 25347
820, 26151
830, 26385
840, 26745
850, 27787
860, 27871
870, 28766
880, 32663
890, 30692
900, 31185
910, 31993
920, 33026
930, 34565
940, 35254
950, 35133
960, 35058
970, 34929
980, 36243
990, 37199
1000, 37426
1010, 39871
1020, 39119
1030, 44646
1040, 42639
1050, 42566
1060, 45345
1070, 46740
1080, 48645
1090, 46539
1100, 46686
1110, 48819
1120, 48574
1130, 49702
1140, 52924
1150, 52464
1160, 52900
1170, 51309
1180, 55278
1190, 54022
1200, 55961
1210, 55549
1220, 56209
1230, 59637
1240, 57891
1250, 61827
1260, 60757
1270, 61728
1280, 64136
1290, 64590
1300, 63303
1310, 68977
1320, 65542
1330, 68857
1340, 68551
1350, 68893
1360, 69467
1370, 74798
1380, 72532
1390, 83737
1400, 74100
1410, 77276
1420, 74618
1430, 77520
1440, 78003
1450, 89815
1460, 87117
1470, 88212
1480, 98009
1490, 90897
1500, 94472
1510, 92693
1520, 93447
1530, 98941
1540, 95008
1550, 96484
1560, 102208
1570, 98380
1580, 100820
1590, 103227
1600, 102940
1610, 116777
1620, 112550
1630, 122011
1640, 122317
1650, 117048
1660, 113830
1670, 119642
1680, 121935
1690, 129672
1700, 132094
1710, 117438
1720, 142758
1730, 157986
1740, 166921
1750, 153735
1760, 166777
1770, 151715
1780, 147583
1790, 148261
1800, 151164
1810, 151809
1820, 151190
1830, 152449
1840, 152775
1850, 154477
1860, 156833
1870, 158015
1880, 160453
1890, 163235
1900, 162296
1910, 160834
1920, 161232
1930, 169411
1940, 171174
1950, 172010
1960, 172010
1970, 175249
1980, 176964
1990, 180194
2000, 191583
2010, 183318
2020, 183399
2030, 186849
2040, 191054
2050, 201762
2060, 212492
2070, 212013
2080, 204804
2090, 216660
2100, 224017
