2023.7 0 2
261.563 1 16
75.9255 2 23
28.9354 3 29
11.2143 4 35
4.31666 5 41
1.67462 6 47
0.644856 7 53
0.250328 8 59
0.0964197 9 65
0.0374462 10 71
0.0144255 11 77
0.00560415 12 83
0.0021591 13 89
0.000838973 14 95
0.000323245 15 101
0.000125624 16 107
4.84025e-05 17 113
1.8813e-05 18 119
7.24863e-06 19 125
2.81761e-06 20 131
1.08562e-06 21 136
4.22014e-07 22 142
1.626e-07 23 148
6.32113e-08 24 155
2.43551e-08 25 161
9.4676e-09 26 166
3.64762e-09 27 173
1.41848e-09 28 178
5.46656e-10 29 184
2.12504e-10 30 190
8.14204e-11 31 196
3.1243e-11 32 202
1.15938e-11 33 208
4.34397e-12 34 214
1.77585e-12 35 220
6.82121e-13 36 226
229
