2521.04 0 7
950.921 1 64
361.234 2 73
137.545 3 79
52.5902 4 86
20.1358 5 92
7.73676 6 98
2.97434 7 103
1.14688 8 109
0.442181 9 114
0.170923 10 120
0.0660316 11 126
0.0255677 12 132
0.00989079 13 137
0.00383416 14 143
0.00148459 15 149
0.000575942 16 155
0.000223141 17 161
8.66113e-05 18 166
3.35699e-05 19 172
1.30344e-05 20 178
5.05341e-06 21 184
1.96256e-06 22 189
7.61014e-07 23 195
2.95592e-07 24 201
1.14634e-07 25 207
4.4531e-08 26 212
1.72703e-08 27 218
6.70886e-09 28 224
2.60216e-09 29 229
1.01078e-09 30 235
3.91432e-10 31 241
1.52223e-10 32 247
5.94559e-11 33 253
2.31173e-11 34 258
8.73541e-12 35 264
3.66629e-12 36 270
1.38306e-12 37 275
0 38 281
285
